value,percentage,datetime
9316.772,0.014884916862222044,2014-06-15T00:00:00.000+02:00
10063.204,0.013789348065556062,2014-06-16T00:00:00.000+02:00
11736.006,0.01568012977026954,2014-06-17T00:00:00.000+02:00
10562.864,0.014162798076653046,2014-06-18T00:00:00.000+02:00
9534.843,0.013110457694329338,2014-06-19T00:00:00.000+02:00
8987.912,0.012207344935548588,2014-06-20T00:00:00.000+02:00
8673.31,0.01288923098050102,2014-06-21T00:00:00.000+02:00
8686.732,0.0141356852623804,2014-06-22T00:00:00.000+02:00
9402.984,0.01321802493354459,2014-06-23T00:00:00.000+02:00
9425.852,0.013667188107224136,2014-06-24T00:00:00.000+02:00
9267.236,0.01280982822290554,2014-06-25T00:00:00.000+02:00
10410.845,0.014108618393916127,2014-06-26T00:00:00.000+02:00
9803.845,0.013203163969830654,2014-06-27T00:00:00.000+02:00
10081.73,0.014789510553433085,2014-06-28T00:00:00.000+02:00
7801.541,0.012852175114720855,2014-06-29T00:00:00.000+02:00
10058.813,0.013981392004453558,2014-06-30T00:00:00.000+02:00
10162.23,0.013567900403985037,2014-07-01T00:00:00.000+02:00
9864.718,0.013271845570379916,2014-07-02T00:00:00.000+02:00
9598.372,0.013085673854251393,2014-07-03T00:00:00.000+02:00
9165.301,0.012516819820485064,2014-07-04T00:00:00.000+02:00
10244.289,0.015101662915361592,2014-07-05T00:00:00.000+02:00
7738.467,0.012547142052053437,2014-07-06T00:00:00.000+02:00
9514.162,0.013233368090246318,2014-07-07T00:00:00.000+02:00
9583.935,0.012907505621722135,2014-07-08T00:00:00.000+02:00
10706.753,0.014245254958027219,2014-07-09T00:00:00.000+02:00
10343.824,0.013843636182954517,2014-07-10T00:00:00.000+02:00
10435.724,0.013974541611262267,2014-07-11T00:00:00.000+02:00
9604.582,0.014226333880604198,2014-07-12T00:00:00.000+02:00
8150.211,0.013230565270308808,2014-07-13T00:00:00.000+02:00
9432.568,0.01258605206565821,2014-07-14T00:00:00.000+02:00
9179.993,0.011713211260925551,2014-07-15T00:00:00.000+02:00
9583.555,0.012008059119993758,2014-07-16T00:00:00.000+02:00
10294.27,0.0126955986929574,2014-07-17T00:00:00.000+02:00
9949.429,0.012435412307926894,2014-07-18T00:00:00.000+02:00
9598.297,0.013746744844908204,2014-07-19T00:00:00.000+02:00
7729.199,0.012462952011198094,2014-07-20T00:00:00.000+02:00
9621.142,0.012895168800146956,2014-07-21T00:00:00.000+02:00
9747.587,0.012624255759007802,2014-07-22T00:00:00.000+02:00
10025.229,0.012749216986413835,2014-07-23T00:00:00.000+02:00
10422.058,0.013218889403722012,2014-07-24T00:00:00.000+02:00
11503.495,0.015061354092770618,2014-07-25T00:00:00.000+02:00
10605.842,0.01514072175739511,2014-07-26T00:00:00.000+02:00
9919.528,0.015396651563767804,2014-07-27T00:00:00.000+02:00
10851.595,0.014195411864591034,2014-07-28T00:00:00.000+02:00
10754.772,0.014248799998057194,2014-07-29T00:00:00.000+02:00
10127.486,0.013511130134856074,2014-07-30T00:00:00.000+02:00
9257.607,0.012400642914232039,2014-07-31T00:00:00.000+02:00
3108.528,0.004199877442775878,2014-08-01T00:00:00.000+02:00
2751.927,0.004206776183644679,2014-08-02T00:00:00.000+02:00
2550.61,0.004251905201469635,2014-08-03T00:00:00.000+02:00
3257.744,0.0045623404912707045,2014-08-04T00:00:00.000+02:00
3607.821,0.004942480041688436,2014-08-05T00:00:00.000+02:00
3667.168,0.004954764719217538,2014-08-06T00:00:00.000+02:00
3821.74,0.005111862633980859,2014-08-07T00:00:00.000+02:00
4401.013,0.005879099066650428,2014-08-08T00:00:00.000+02:00
4410.28,0.006484676449502871,2014-08-09T00:00:00.000+02:00
3231.768,0.0051686779683743755,2014-08-10T00:00:00.000+02:00
3954.872,0.005465109337113445,2014-08-11T00:00:00.000+02:00
5046.372,0.006869764462452991,2014-08-12T00:00:00.000+02:00
4068.98,0.005619895550088481,2014-08-13T00:00:00.000+02:00
2725.22,0.0039224847398011235,2014-08-14T00:00:00.000+02:00
3253.561,0.005247639251766963,2014-08-15T00:00:00.000+02:00
3619.07,0.005798416568460523,2014-08-16T00:00:00.000+02:00
2324.153,0.003961457460887861,2014-08-17T00:00:00.000+02:00
4749.084,0.006790716161897573,2014-08-18T00:00:00.000+02:00
4145.561,0.005812280387223101,2014-08-19T00:00:00.000+02:00
3452.921,0.004846398707011314,2014-08-20T00:00:00.000+02:00
3339.405,0.004698179121084638,2014-08-21T00:00:00.000+02:00
3375.471,0.004795794488419895,2014-08-22T00:00:00.000+02:00
3406.121,0.0053147023692962795,2014-08-23T00:00:00.000+02:00
3139.174,0.005238060919530155,2014-08-24T00:00:00.000+02:00
5752.977,0.007818790901499907,2014-08-25T00:00:00.000+02:00
7750.946,0.009987975725872173,2014-08-26T00:00:00.000+02:00
7045.099,0.008925548510482129,2014-08-27T00:00:00.000+02:00
6285.781,0.007952068382782644,2014-08-28T00:00:00.000+02:00
5366.396,0.006868032177374169,2014-08-29T00:00:00.000+02:00
4669.014,0.006710746658661131,2014-08-30T00:00:00.000+02:00
3809.771,0.005930097388823355,2014-08-31T00:00:00.000+02:00
5076.382,0.00647607347970587,2014-09-01T00:00:00.000+02:00
5832.871,0.007208231053094142,2014-09-02T00:00:00.000+02:00
5969.455,0.007377142451950874,2014-09-03T00:00:00.000+02:00
6198.491,0.007695642254211968,2014-09-04T00:00:00.000+02:00
5359.139,0.006751952002760904,2014-09-05T00:00:00.000+02:00
4422.978,0.006259875257091723,2014-09-06T00:00:00.000+02:00
4744.721,0.0073310439786558245,2014-09-07T00:00:00.000+02:00
5134.612,0.006837874484085001,2014-09-08T00:00:00.000+02:00
5614.779,0.007161374420129205,2014-09-09T00:00:00.000+02:00
4831.999,0.006176542778248171,2014-09-10T00:00:00.000+02:00
4366.677,0.005780510127549579,2014-09-11T00:00:00.000+02:00
4878.799,0.006398163763867773,2014-09-12T00:00:00.000+02:00
4977.613,0.007191914702311224,2014-09-13T00:00:00.000+02:00
4183.649,0.006644015944949672,2014-09-14T00:00:00.000+02:00
5445.444,0.007289847938500098,2014-09-15T00:00:00.000+02:00
6346.508,0.008314287211606,2014-09-16T00:00:00.000+02:00
7402.704,0.009700379590650858,2014-09-17T00:00:00.000+02:00
9041.374,0.011877076458221076,2014-09-18T00:00:00.000+02:00
6759.835,0.009001375096140128,2014-09-19T00:00:00.000+02:00
4873.653,0.007316011026196741,2014-09-20T00:00:00.000+02:00
4760.969,0.0078646301638375,2014-09-21T00:00:00.000+02:00
6409.969,0.008922777076484168,2014-09-22T00:00:00.000+02:00
5131.128,0.00713036208908372,2014-09-23T00:00:00.000+02:00
6261.08,0.008802546584538173,2014-09-24T00:00:00.000+02:00
6528.944,0.009180611396531894,2014-09-25T00:00:00.000+02:00
4647.673,0.006617832266633064,2014-09-26T00:00:00.000+02:00
4604.966,0.007317567845148456,2014-09-27T00:00:00.000+02:00
5481.518,0.009435619763347204,2014-09-28T00:00:00.000+02:00
4538.749,0.006530818343928627,2014-09-29T00:00:00.000+02:00
4362.842,0.006108800261366986,2014-09-30T00:00:00.000+02:00
4283.818,0.005963425099681549,2014-10-01T00:00:00.000+02:00
4093.181,0.005671938920400446,2014-10-02T00:00:00.000+02:00
4129.244,0.005773705161278343,2014-10-03T00:00:00.000+02:00
4451.226,0.007000780905245068,2014-10-04T00:00:00.000+02:00
4827.284,0.008307370441608562,2014-10-05T00:00:00.000+02:00
5788.195,0.008295727885775999,2014-10-06T00:00:00.000+02:00
6071.312,0.00848611849217086,2014-10-07T00:00:00.000+02:00
6907.082,0.00956562143783679,2014-10-08T00:00:00.000+02:00
5884.714,0.008318290384054173,2014-10-09T00:00:00.000+02:00
4716.895,0.00671387115162484,2014-10-10T00:00:00.000+02:00
4497.829,0.007169081572806086,2014-10-11T00:00:00.000+02:00
5466.801,0.009527500592658425,2014-10-12T00:00:00.000+02:00
5604.021,0.008487644500867784,2014-10-13T00:00:00.000+02:00
6124.788,0.008791248817125235,2014-10-14T00:00:00.000+02:00
8606.68,0.012048367470061857,2014-10-15T00:00:00.000+02:00
8214.568,0.011389858364938627,2014-10-16T00:00:00.000+02:00
7896.472,0.011033195317232345,2014-10-17T00:00:00.000+02:00
5993.044,0.009462487613772809,2014-10-18T00:00:00.000+02:00
4646.052,0.008047989273006087,2014-10-19T00:00:00.000+02:00
6386.538,0.009192744396637484,2014-10-20T00:00:00.000+02:00
7669.033,0.010648080207231937,2014-10-21T00:00:00.000+02:00
8695.842,0.012105097665900157,2014-10-22T00:00:00.000+02:00
6231.486,0.00883657521249987,2014-10-23T00:00:00.000+02:00
6321.696,0.009031395628034001,2014-10-24T00:00:00.000+02:00
5277.305,0.00849470245308289,2014-10-25T00:00:00.000+02:00
5890.32,0.009949715232576494,2014-10-26T00:00:00.000+02:00
7162.923,0.010396216071071428,2014-10-27T00:00:00.000+01:00
6742.983,0.009523227904866389,2014-10-28T00:00:00.000+01:00
5971.07,0.008409338049329466,2014-10-29T00:00:00.000+01:00
6313.027,0.008921448782650061,2014-10-30T00:00:00.000+01:00
7054.057,0.010121222221917405,2014-10-31T00:00:00.000+01:00
10427.923,0.017306357088459883,2014-11-01T00:00:00.000+01:00
11141.653,0.01942955528814913,2014-11-02T00:00:00.000+01:00
15351.593,0.021867943939634944,2014-11-03T00:00:00.000+01:00
13632.201,0.018901930475529023,2014-11-04T00:00:00.000+01:00
13963.352,0.019251362862312743,2014-11-05T00:00:00.000+01:00
13783.062,0.018741092981418555,2014-11-06T00:00:00.000+01:00
13451.863,0.01839270399450543,2014-11-07T00:00:00.000+01:00
12570.595,0.01915726778811946,2014-11-08T00:00:00.000+01:00
9586.967,0.015881236172047675,2014-11-09T00:00:00.000+01:00
15523.655,0.0213061985882691,2014-11-10T00:00:00.000+01:00
17110.845,0.022245976614351074,2014-11-11T00:00:00.000+01:00
15483.246,0.020395019149944286,2014-11-12T00:00:00.000+01:00
17718.424,0.02324658781076953,2014-11-13T00:00:00.000+01:00
15011.691,0.019951233089732606,2014-11-14T00:00:00.000+01:00
13292.559,0.019792922443289385,2014-11-15T00:00:00.000+01:00
14271.335,0.022785078923043905,2014-11-16T00:00:00.000+01:00
13270.52,0.017775141796139548,2014-11-17T00:00:00.000+01:00
17325.634,0.022230425843785755,2014-11-18T00:00:00.000+01:00
15439.692,0.020014831726916812,2014-11-19T00:00:00.000+01:00
16157.833,0.021145738190378387,2014-11-20T00:00:00.000+01:00
14392.353,0.01919559907457822,2014-11-21T00:00:00.000+01:00
11632.584,0.017533284950809608,2014-11-22T00:00:00.000+01:00
13190.061,0.02137305509946502,2014-11-23T00:00:00.000+01:00
16306.746,0.022265997330193375,2014-11-24T00:00:00.000+01:00
16095.836,0.021353915505303956,2014-11-25T00:00:00.000+01:00
16016.982,0.021178598628761352,2014-11-26T00:00:00.000+01:00
16894.734,0.022087082245333484,2014-11-27T00:00:00.000+01:00
15314.663,0.020173849214716922,2014-11-28T00:00:00.000+01:00
15069.499,0.022252856513415152,2014-11-29T00:00:00.000+01:00
13987.807,0.022279177300688766,2014-11-30T00:00:00.000+01:00
12493.379,0.01694630718064927,2014-12-01T00:00:00.000+01:00
13236.224,0.017390593513319327,2014-12-02T00:00:00.000+01:00
15431.162,0.019911655244845967,2014-12-03T00:00:00.000+01:00
12837.184,0.016503038965933192,2014-12-04T00:00:00.000+01:00
12743.417,0.016446816845415633,2014-12-05T00:00:00.000+01:00
12776.704,0.018424640530605486,2014-12-06T00:00:00.000+01:00
11779.396,0.017920179494800344,2014-12-07T00:00:00.000+01:00
11995.069,0.01775750214472234,2014-12-08T00:00:00.000+01:00
14511.584,0.018040196769291028,2014-12-09T00:00:00.000+01:00
14560.419,0.017756022566186996,2014-12-10T00:00:00.000+01:00
16129.774,0.019733624029714972,2014-12-11T00:00:00.000+01:00
17621.617,0.021589747893599995,2014-12-12T00:00:00.000+01:00
15753.013,0.021461618646721716,2014-12-13T00:00:00.000+01:00
14878.076,0.02159866396846273,2014-12-14T00:00:00.000+01:00
14872.118,0.018556415346641125,2014-12-15T00:00:00.000+01:00
15146.412,0.01863878603594686,2014-12-16T00:00:00.000+01:00
14811.524,0.01836492472820182,2014-12-17T00:00:00.000+01:00
14224.056,0.017912750549393133,2014-12-18T00:00:00.000+01:00
