datetime,value_Hidráulica,percentage_Hidráulica,value_Eólica,percentage_Eólica,value_Solar fotovoltaica,percentage_Solar fotovoltaica,value_Solar térmica,percentage_Solar térmica,value_Otras renovables,percentage_Otras renovables,value_Residuos renovables,percentage_Residuos renovables,value_Generación renovable,percentage_Generación renovable,value_Hidroeólica,percentage_Hidroeólica
2018-09-11T00:00:00.000+02:00,83536.197,0.38500497376804915,79823.565,0.3678940465639963,22764.683,0.10491878366515721,17544.322,0.0808589745998158,10580.365,0.04876321038748491,2630.817,0.012125014861204871,216974.33200000002,1,94.383,0.00043499615429165133
2018-09-12T00:00:00.000+02:00,94482.667,0.4888658740008924,47276.94,0.24461716976287037,22649.0,0.11718893561975988,15406.81,0.07971688221095291,10779.481,0.05577446708125854,2626.984,0.013592364292027872,193269.09900000002,1,47.217,0.0002443070322379885
2018-09-13T00:00:00.000+02:00,91334.722,0.43329992167321607,63337.268,0.3004775474478972,26327.945,0.12490207728794249,16954.086,0.08043166908463321,10235.874,0.04855988287189301,2592.345,0.012298311757602473,210788.68800000002,1,6.448,3.058987681540102e-05
2018-09-14T00:00:00.000+02:00,76170.377,0.39215104885522506,76534.593,0.3940261568963715,21984.566,0.1131840349894411,6959.709,0.03583095281354784,9960.591,0.05128051562443908,2624.588,0.01351227311127576,194237.34099999996,1,2.917,1.5017709699804841e-05
2018-09-15T00:00:00.000+02:00,54782.734,0.34442009328276524,60494.317,0.38032892451510675,19724.174,0.12400625804848464,11314.467,0.0711342697789557,10028.134,0.06304706967951015,2676.115,0.016824786034508744,159057.892,1,37.951,0.00023859866066878343
2018-09-16T00:00:00.000+02:00,48028.524,0.33424742106584265,38190.467,0.2657809160250306,25579.873,0.17801934911515874,18972.485,0.1320362079513496,10233.374,0.07121765533128285,2625.862,0.018274298864041624,143691.53199999998,1,60.947,0.00042415164729401044
2018-09-17T00:00:00.000+02:00,53823.2,0.27635287484170984,95428.344,0.4899726736014141,20735.435,0.1064651873791118,11821.57,0.06069733599344728,10319.376,0.052984386364477484,2584.991,0.013272523638318538,194762.584,1,49.668,0.00025501818152094344
2018-09-18T00:00:00.000+02:00,67752.405,0.4528478896961319,29465.644,0.19694436978196553,23211.495,0.15514248575297535,15733.723,0.10516207148090895,10814.675,0.07228382153370813,2603.288,0.017400024059238395,149614.046,1,32.816,0.00021933769507175818
2018-09-19T00:00:00.000+02:00,92035.057,0.5544357294777491,17695.451,0.10660057812125617,25574.749,0.15406688581749162,17049.373,0.10270848809702197,10984.566,0.06617300039490909,2631.59,0.015853171268599853,165997.702,1,26.916,0.0001621468229722843
2018-09-20T00:00:00.000+02:00,88247.055,0.46203618324266016,46176.442,0.24176656113233547,25666.305,0.13438138643994416,17356.997,0.09087624109874605,10908.69,0.05711476141359476,2608.112,0.013655323839978353,190995.98299999998,1,32.382,0.00016954283274114724
2018-09-21T00:00:00.000+02:00,81002.224,0.4197142103469344,53556.536,0.2775039758927751,25777.367,0.13356580475158467,18803.663,0.09743145531010196,11159.578,0.05782351689596846,2622.189,0.013586910718839246,192993.76100000003,1,72.204,0.00037412608379604553
2018-09-22T00:00:00.000+02:00,55264.534,0.3480617548698007,43079.855,0.271321385444715,26664.524,0.1679359318619771,19744.175,0.12435085762157058,11279.301,0.0710382050767803,2658.179,0.01674148645672199,158777.956,1,87.388,0.0005503786684343008
2018-09-23T00:00:00.000+02:00,45314.344,0.25916293352827197,67720.213,0.38730714186747184,26984.861,0.15433249431157295,21229.114,0.12141408160837788,10884.58,0.0622513631229696,2634.491,0.015067247049054286,174848.862,1,81.259,0.00046473851228153834
2018-09-24T00:00:00.000+02:00,57677.551,0.17774490213494992,205521.07,0.6333542572537484,26720.76,0.0823453629501621,21654.174,0.06673166546969335,10206.745,0.03145412486638675,2653.6,0.008177598807988625,324496.23199999996,1,62.332,0.00019208851707097792
2018-09-25T00:00:00.000+02:00,58528.864,0.20917706433794886,163284.158,0.583563364963547,24546.409,0.08772672872411477,19976.137,0.07139297448986333,10750.782,0.038422358891115026,2675.301,0.009561292858859842,279805.361,1,43.71,0.0001562157345512762
2018-09-26T00:00:00.000+02:00,52330.098,0.1996901842929742,165317.473,0.6308468340766108,19840.119,0.0757093369002393,11203.353,0.04275168040520859,10729.064,0.04094180690147217,2631.93,0.010043370963039425,262056.43600000002,1,4.399,1.6786460455411215e-05
2018-09-27T00:00:00.000+02:00,66847.116,0.3241400391350159,83732.074,0.4060147896764319,24775.185,0.12013426930007362,17177.551,0.08329352687980932,11041.775,0.053541298335444125,2569.821,0.01246099950684463,206229.12299999996,1,85.601,0.0004150771663806184
2018-09-28T00:00:00.000+02:00,61941.936,0.33282099451316555,65906.345,0.35412221031689733,26348.524,0.14157358532729766,18718.01,0.10057397468989954,10386.212,0.05580628618170045,2702.895,0.014522959081625451,186111.865,1,107.943,0.0005799898894140897
2018-09-29T00:00:00.000+02:00,38736.823,0.20692416383041393,87621.603,0.4680566326839837,27090.599,0.14471242377672655,20562.928,0.10984294407171714,10330.102,0.0551812862565649,2744.457,0.01466032642618953,187202.994,1,116.482,0.0006222229544042442
2018-09-30T00:00:00.000+02:00,39016.5,0.2394078450225915,68592.738,0.4208896130811124,25735.223,0.1579130439584748,16593.881,0.10182116004181117,10479.857,0.06430510118834136,2488.167,0.015267558584863491,162970.84999999998,1,64.484,0.0003956781228053974
2018-10-01T00:00:00.000+02:00,34225.219,0.10845878139199316,227706.671,0.7215962022474571,24775.977,0.07851439236126,15997.512,0.05069567726721595,10327.481,0.03272750436188481,2486.381,0.007879273273202586,315559.6859999999,1,40.445,0.00012816909698661573
2018-10-02T00:00:00.000+02:00,34442.333,0.11735575794077355,199553.631,0.6799413853828788,26676.637,0.09089561251399211,20259.792,0.0690314226356972,10053.206,0.034254404597526315,2455.297,0.008365961748430557,293486.52,1,45.624,0.00015545518070131465
2018-10-03T00:00:00.000+02:00,62132.356,0.25513472633308926,120516.749,0.4948791540219175,26880.099,0.11037802432876272,21569.583,0.08857139838418254,9647.72,0.03961653090924593,2743.794,0.011266869250932192,243527.633,1,37.332,0.0001532967718698272
2018-10-04T00:00:00.000+02:00,51771.703,0.3115941913410564,54845.001,0.3300912032137407,26487.916,0.15942069292813935,20967.194,0.12619356676601984,9263.819,0.0557554034881741,2786.598,0.016771473606008384,166151.05299999999,1,28.822,0.000173468656861296
